feature,accuracy,balanced_accuracy,f1_macro,f1_weighted,mae,adjacent_accuracy,kappa_linear,kappa_quadratic,spearman_r,roc_auc_macro_ovr,roc_auc_weighted_ovr
ChemBERTa-MLM,0.4469586330991142,0.45710573149006967,0.4389908569550585,0.44937542970291744,0.7049867763439487,0.848054590556937,0.2046817480320835,0.2379667320864058,0.2936235772454817,0.6306576522083095,0.6267320753374455
ChemBERTa-MTR,0.44064412485043214,0.4474363614354459,0.4317151392413392,0.4445902336897762,0.7126501456915826,0.8467057294579853,0.18676914833269817,0.21317888865563955,0.25296884276360465,0.6211049608363289,0.6188226294036198
ECFP_1024_2,0.49058628867095544,0.4879718194355804,0.4766847299548026,0.49129745287926985,0.6294101471013622,0.8800035642276823,0.26604720867770915,0.31063426282608014,0.3455670016225523,0.6579560248263953,0.655512288679776
GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,0.45491975524318073,0.4690310508036567,0.44646223598211876,0.45679507450464024,0.7010564574415578,0.8440237873152614,0.2184482237242497,0.24789890975900175,0.3004235736714864,0.6423995682218375,0.6396248010357874
GNN_Soft_Clip_with_Frozen_Teacher_seed0_first_fc,0.4675266252211536,0.4649635641399771,0.45593603857300374,0.4710222162064991,0.6584131026797848,0.8740602720990615,0.22619638660248007,0.26470062263048827,0.33610215010608063,0.6507325436650391,0.6475553463970845
GNN_Soft_Clip_with_Frozen_Teacher_seed0_second_fc,0.45499969696210185,0.4600863908379847,0.44150935673517827,0.4527972414029261,0.6880935912411875,0.8569067117967105,0.21805459313819198,0.25905421120724054,0.3035612265936688,0.6319265373941044,0.6249836930012228
GNN_Soft_Clip_with_Frozen_Teacher_seed1_GNN,0.46036192211737204,0.47743345095706885,0.4537387548995271,0.4624651512700986,0.6897392986448537,0.8498987792377742,0.2297592557305907,0.2610945600335361,0.3079559351305736,0.6419341614313704,0.6360772105634829
GNN_Soft_Clip_with_Frozen_Teacher_seed1_first_fc,0.47931223443765264,0.47873314855015126,0.46782032016720587,0.4838655562576325,0.6399737397985414,0.8807140257638058,0.2508467276768514,0.2927449618148441,0.3502546073280806,0.6566935399628901,0.6530702741733277
GNN_Soft_Clip_with_Frozen_Teacher_seed1_second_fc,0.46364377068148693,0.4683885267190979,0.4531206772300606,0.46549253599073137,0.6765727464137963,0.8597834829047167,0.2214411367980664,0.25417604469527894,0.3117869797169989,0.6469726842996072,0.6404990667984533
GNN_Soft_Clip_with_Frozen_Teacher_seed2_GNN,0.4637253451530528,0.4749726495228277,0.4548456539359794,0.46628023208878316,0.6824888719138588,0.8537857829330884,0.23452261682670636,0.270121078048141,0.3102883641324755,0.6426712460090456,0.638008511861702
GNN_Soft_Clip_with_Frozen_Teacher_seed2_first_fc,0.4696021847773396,0.4681640493021056,0.45735869867149476,0.4730672094865976,0.649480540759468,0.8809172744631923,0.2449114365645176,0.29598890516185905,0.3499029712486527,0.6498255489557434,0.6478926605678403
GNN_Soft_Clip_with_Frozen_Teacher_seed2_second_fc,0.44711562501233354,0.454099409107274,0.4356736255246766,0.44595205416740846,0.6904438208034398,0.8624405541842266,0.2138390313137743,0.2609100242191304,0.28987257916683823,0.6220246520748658,0.6158715706339765
GNN_Soft_Clip_with_Teacher_seed0_GNN,0.4581382766676485,0.4685469262289015,0.44883578817756536,0.46112712982672444,0.6894114117538019,0.8524503115785496,0.2254210343122223,0.2597249605739878,0.3203606364457072,0.6481498909364651,0.6441866680932133
GNN_Soft_Clip_with_Teacher_seed0_first_fc,0.46347208465391576,0.46435697686387684,0.45288644294725167,0.46713378000317596,0.656038068641045,0.8804898467050393,0.23565532519364807,0.2862548868033513,0.3603393645275178,0.6593853761183547,0.6555231757482496
GNN_Soft_Clip_with_Teacher_seed0_second_fc,0.4607993119854226,0.4630222691382036,0.44944703694498517,0.462959286251493,0.6901548859600642,0.8490458020545131,0.2044746298529457,0.22479156012591106,0.2798676548585699,0.6309630872214381,0.6251946773940539
GNN_Soft_Clip_with_Teacher_seed1_GNN,0.45217299697383473,0.4680869246264017,0.4422497964838059,0.45105574736794396,0.6956810655589747,0.8521459374671905,0.22639608902001127,0.26676363527995056,0.3121679584611859,0.6410873953968556,0.6349259685623324
GNN_Soft_Clip_with_Teacher_seed1_first_fc,0.4721839189953077,0.47349495964364385,0.46174045540179165,0.475554598085478,0.6458922075209859,0.8819238734837065,0.24593030532083232,0.2941972581499966,0.3496395166469868,0.6522379114942751,0.6476682183807272
GNN_Soft_Clip_with_Teacher_seed1_second_fc,0.4432301884302578,0.4445952355558502,0.43063243808099627,0.44272763093067974,0.7031934023332539,0.8535764092364883,0.18854209433286911,0.22296964121479856,0.26060534794606616,0.6156767727950498,0.6097779385280286
GNN_Soft_Clip_with_Teacher_seed2_GNN,0.4575149039466765,0.46900691377455334,0.4474581766165571,0.4589599682587011,0.6915921079030167,0.8508929881503068,0.22565281643402302,0.26080907536638076,0.30155211977259117,0.6486952551855412,0.6450869819061638
GNN_Soft_Clip_with_Teacher_seed2_first_fc,0.4721095012547426,0.4714876913232407,0.46020688033996093,0.47586600055875683,0.6527694254869197,0.8751210732583375,0.23835052059390524,0.2781769680737737,0.34066264114725103,0.6559500727790055,0.6550022621017756
GNN_Soft_Clip_with_Teacher_seed2_second_fc,0.47239829400580985,0.4730449059124797,0.4596659768692499,0.47258451483796127,0.6679911461851572,0.859610559809033,0.22775293520927672,0.25736732173125676,0.3040112921213485,0.6435904907939015,0.6393922197074517
GNN_Soft_Clip_with_Teacher_with_centering_seed0_GNN,0.47041713610296854,0.4826102734850287,0.4618694322219861,0.47281034697074914,0.6698323313822385,0.8597505325147929,0.24719424244931162,0.28517885923705116,0.32395552136808514,0.6523617238991892,0.6470759029272761
GNN_Soft_Clip_with_Teacher_with_centering_seed0_first_fc,0.481457510092796,0.48170430163270544,0.47048463543584673,0.4848902141351948,0.6411654109475955,0.8773770789596084,0.25394807969356614,0.2959305196243284,0.35950514283642243,0.6673774623481645,0.6648929390276731
GNN_Soft_Clip_with_Teacher_with_centering_seed0_second_fc,0.44970464659466686,0.4554972340108381,0.43740121445300695,0.44919808715262843,0.6944678896402778,0.8558274637650551,0.21215860735365516,0.25296819117896885,0.31408251666171094,0.6341799239149285,0.6285125774756655
GNN_Soft_Clip_with_Teacher_with_centering_seed1_GNN,0.45462322097729413,0.46942755983329254,0.4476558119028262,0.45665422714829446,0.694955700560961,0.8504210784617449,0.22115571055539462,0.25477245219099354,0.29249884866846687,0.6333625369263285,0.6273480689501499
GNN_Soft_Clip_with_Teacher_with_centering_seed1_first_fc,0.4783164054373558,0.4782860208353856,0.46673233259145624,0.4810058126267356,0.6458158137529341,0.8758677808097101,0.24663270681655056,0.28683694756967126,0.3402635464963409,0.6534416148783183,0.6500057111185876
GNN_Soft_Clip_with_Teacher_with_centering_seed1_second_fc,0.4505518924249078,0.4581362770702057,0.4426243273303929,0.45384455634452153,0.6887683228756367,0.8606797846994554,0.2131769738722195,0.2530615583283145,0.2943893273296903,0.6274272169692418,0.6208331119622073
GNN_Soft_Clip_with_Teacher_with_centering_seed2_GNN,0.45594045505197955,0.46664861092502813,0.4459744754344742,0.45725807783496775,0.6925729361690434,0.8514866087789771,0.2227400432830146,0.2593147785592254,0.29949437024666975,0.6361817399415641,0.631757564756815
GNN_Soft_Clip_with_Teacher_with_centering_seed2_first_fc,0.45881700094315825,0.44976063353522266,0.4421800847022583,0.4625107191047783,0.672687769551164,0.8684952295056777,0.21206547223576888,0.2499520915677882,0.32048735838596343,0.6407259116176697,0.6389381143602922
GNN_Soft_Clip_with_Teacher_with_centering_seed2_second_fc,0.4626113173863201,0.4613668940572252,0.44927556182026845,0.46322459959761064,0.6708142537638867,0.8665744288497932,0.21943533335043888,0.25837758676651157,0.3078695864264398,0.6373323488504581,0.6321477435590028
GNN_Vanilla_Clip_with_VAE_seed0_GNN,0.46612849061904116,0.4813758461425731,0.45854824775718256,0.46757493985828974,0.6829553991035914,0.8509161102773674,0.23151932144807197,0.25969860548490775,0.3187025400753678,0.6544072885695273,0.6493365496637096
GNN_Vanilla_Clip_with_VAE_seed0_first_fc,0.4710614460599492,0.47547154136070935,0.46089614407267787,0.473434864726691,0.6456833458206007,0.88325520811945,0.253984489569487,0.3089797124967025,0.3605326274464567,0.6610079635426735,0.6560345073937554
GNN_Vanilla_Clip_with_VAE_seed0_second_fc,0.46808955459769774,0.4761093717898398,0.45932135293227716,0.4684930002813872,0.6746536572713937,0.8572567881309086,0.22559445562703906,0.2552403801350485,0.29370520632039987,0.6413104502868847,0.6334160930172335
GNN_Vanilla_Clip_with_VAE_seed1_GNN,0.46111624978058857,0.4795540469609907,0.45382455099829033,0.4614177899966865,0.6831869592578852,0.8556967909615263,0.23332023980619435,0.26927663130270213,0.30797537468804065,0.6431763667103659,0.6355038909759164
GNN_Vanilla_Clip_with_VAE_seed1_first_fc,0.4675433076667141,0.4740541905360838,0.45908144876453805,0.46966713514520964,0.6538086120084742,0.8786480803248118,0.243611610364116,0.2938972713441421,0.3542495158445875,0.6545849637761231,0.6466339935099663
GNN_Vanilla_Clip_with_VAE_seed1_second_fc,0.4706213019306938,0.47561879693790693,0.46141438246946653,0.4736156648072511,0.6664389772498134,0.8629397208194928,0.2320095423740579,0.2652063289525137,0.2996110827547291,0.6436907709564061,0.6373685164239205
GNN_Vanilla_Clip_with_VAE_seed2_GNN,0.469379856359491,0.48874407301993544,0.4614687174645579,0.4693313332600592,0.678565457490591,0.8520546861499179,0.24384322673527134,0.27670465585504433,0.3217094512593451,0.6593581098275456,0.65171527343281
GNN_Vanilla_Clip_with_VAE_seed2_first_fc,0.4697756795196329,0.48152021240421655,0.4630523850579151,0.47082624693176256,0.6490164940606042,0.8812078264197629,0.2531364923408761,0.3066263438658902,0.36481829124863924,0.6651974259366074,0.6576181012567175
GNN_Vanilla_Clip_with_VAE_seed2_second_fc,0.46740168804130555,0.4712981219048084,0.4578120355500543,0.47029652609057426,0.6758559096749667,0.8567424022837277,0.2148176685628696,0.23620532678197004,0.2850648222697303,0.6479771595841889,0.6424659528225254
GNN_Vanilla_Clip_without_VAE_seed0_GNN,0.473021172174531,0.48478579033755553,0.4641486407996735,0.4762559895743542,0.6707377232257659,0.8562411045997032,0.24544225088923532,0.27764053309112624,0.3329840860119254,0.6573147008990946,0.652299189206025
GNN_Vanilla_Clip_without_VAE_seed0_first_fc,0.46996318261530257,0.47852180537042344,0.46090484529444625,0.47233009637773365,0.6588401552464446,0.871196662138253,0.24827635185492436,0.2940226861529273,0.3578430306931666,0.6643714113611014,0.6584985906944602
GNN_Vanilla_Clip_without_VAE_seed0_second_fc,0.46305560265631796,0.4664878442545114,0.45337013792206965,0.465978336779126,0.6704177642644805,0.8665266330792014,0.22222021912953407,0.2578097337862037,0.2686848910688501,0.6304943911728408,0.626045726779032
GNN_Vanilla_Clip_without_VAE_seed1_GNN,0.4662371476470606,0.4853141378018778,0.45932212837262404,0.46905446251191835,0.688955395621073,0.8448074567318664,0.23759031815995957,0.26568465736901126,0.3166308422406798,0.6516295011347821,0.6462730645033089
GNN_Vanilla_Clip_without_VAE_seed1_first_fc,0.4753920919401017,0.48152864650553745,0.4671031030896939,0.4772427576605513,0.6347985084835469,0.8898093995763513,0.2616766201215091,0.3204376604609485,0.38314249376105797,0.67175781373743,0.665642573943114
GNN_Vanilla_Clip_without_VAE_seed1_second_fc,0.4668514860792975,0.47408801254230937,0.4578153045601401,0.46806012365085714,0.6816413190995573,0.8515071948211451,0.21824434122665676,0.24156386131135746,0.2660486985755586,0.6355543380364219,0.6302171448272901
GNN_Vanilla_Clip_without_VAE_seed2_GNN,0.46106237094892577,0.47306070379403103,0.45277256366429297,0.46488734676753424,0.6929872957085113,0.845950333342563,0.2206412479045534,0.245352606265199,0.30420024521204064,0.6476861761805074,0.6439148426028731
GNN_Vanilla_Clip_without_VAE_seed2_first_fc,0.47894059503081965,0.48807804175323233,0.47245916376630354,0.48117682519205374,0.6417039747261817,0.8793554302429989,0.25686507687037696,0.30385132035955187,0.3520246337122755,0.6624386999287277,0.6556697895460459
GNN_Vanilla_Clip_without_VAE_seed2_second_fc,0.47401932737396285,0.47612984269679925,0.46520260103929045,0.47727314483539934,0.667610036460252,0.858370636165785,0.22076286448537816,0.24139404710944923,0.3036697935400961,0.6613735138984208,0.6561141188963397
MoLFormer-XL-both-10pct,0.4282940251670495,0.43613962002335627,0.4158561052947812,0.4289262463933867,0.715428394253173,0.8562775805797774,0.1966283865887502,0.24675227617214024,0.30635810793360957,0.6255367040115514,0.6239647787379633
